A22J,牧場物語 ふたごの村+
BWAJ,かわいいペットとくらそう! わんニャン&アイドルアニマル
BWCE,Winx Club: Saving Alfea
BWCP,Winx Club: Saving Alfea
BWDE,Disney Art Academy
BWDJ,ディズニーアートアカデミー
BWDP,Disney Art Academy
BWDW,Disney Art Academy
BWKJ,クレヨンしんちゃん 激アツ! おでんわ~るど大コン乱! !
BWSJ,スナックワールド トレジャラーズ
BWTJ,アンパンマンとタッチでわくわくトレーニング
BX2J,PROJECT X ZONE 2：BRAVE NEW WORLD
BX2K,Project Cross Zone 2
BXLJ,なげなわアクション！ぐるぐる！ちびロボ！
BXLP,Chibi-Robo! Zip Lash
BXPJ,Project X Zone 2: Brave New World
BXPK,Project Cross Zone 2
BXXJ,モンスターハンタークロス
BXXP,Monster Hunter Generations
BY3J,妖怪ウォッチ3 SUSHI (スシ)
BY4J,妖怪ウォッチ3 TEMPURA (テンプラ)
BYAJ,妖怪ウォッチ バスターズ 赤猫団
BYBJ,妖怪ウォッチ バスターズ 白犬隊
BYCJ,美容師デビュー物語 トップスタイリストをめざそう!
BYDJ,食戟のソーマ 友情と絆の一皿
BYEJ,SIMPLEシリーズ for 3DS Vol.2 THE 密室からの脱出 アーカイブス1
BYFJ,プロ野球 ファミスタ クライマックス
BYGJ,妖怪ウォッチ2 元祖
BYGP,YO-KAI WATCH 2: Bony Spirits
BYHJ,妖怪ウォッチ2 本家
BYHP,YO-KAI WATCH 2: Fleshy Souls
BYMJ,妖怪ウォッチバスターズ2 秘宝伝説バンバラヤー マグナム
BYNJ,妖怪ウォッチバスターズ2 秘宝伝説バンバラヤー ソード
BYSJ,妖怪ウォッチ2 真打
BYSK,요괴워치 2 끝판왕
BYSP,YO-KAI WATCH 2: Psychic Specters
BZEE,Zero Escape: Zero Time Dilemma
BZGJ,ZERO ESCAPE 刻のジレンマ
BZHJ,ゼルダ無双 ハイラルオールスターズ
BZHP,Hyrule Warriors Legends
BZLE,The Legend of Zelda: A Link Between Worlds
BZLJ,ゼルダの伝説 神々のトライフォース2
BZLK,젤다의 전설 신들의 트라이포스 2
BZLP,The Legend of Zelda: A Link Between Worlds
BZME,Etrian Odyssey Nexus
BZMJ,世界樹の迷宮X (クロス)
BZPE,Captain Toad: Treasure Tracker
BZPJ,進め!キノピオ隊長
BZPP,Captain Toad: Treasure Tracker
BZRJ,マジンボーン 時間と空間の魔神
EA3J,ゼルダの伝説　トライフォース３銃士
EA3K,젤다의 전설 트라이포스 삼총사
EA3P,The Legend of Zelda: Tri Force Heroes
EAAE,Animal Crossing: New Leaf - Welcome amiibo
EAAJ,とびだせ どうぶつの森 amiibo＋
EAAP,Animal Crossing: New Leaf - Welcome amiibo
EC6E,Tomodachi Life
EC6J,更新データ Ver. 1.2 トモダチコレクション 新生活
EC6K,친구모아 아파트
EC6P,Tomodachi Life
ECDE,Style Savvy: Fashion Forward
ECDJ,GIRLS MODE 3　キラキラ☆コーデ
ECDP,Nintendo presents: New Style Boutique 2 - Fashion Forward
ECFA,Pokémon Rumble World
ECFE,Pokémon Rumble World
ECFJ,みんなのポケモンスクランブル
ECFP,Pokémon Rumble World
ECLE,Pokémon Alpha Sapphire
ECLJ,ポケットモンスター アルファサファイア
ECLK,포켓몬스터 알파사파이어
ECLP,Pokémon Alpha Sapphire
ECRE,Pokémon Omega Ruby
ECRJ,ポケットモンスター オメガルビー
ECRK,포켓몬스터 오메가루비
ECRP,Pokémon Omega Ruby
EDHJ,どうぶつの森　ハッピーホームデザイナー
EDHP,Animal Crossing: Happy Home Designer
EGDE,Animal Crossing: New Leaf
EGDJ,更新データ Ver. 1.5 とびだせ どうぶつの森
EGDK,업데이트 데이터 Ver.1.5 튀어나와요 동물의 숲
EGDP,Animal Crossing: New Leaf
EK2E,Pokémon Y
EK2J,ポケットモンスター Ｙ
EK2K,Pokémon Y
EK2P,Pokémon Y
EKJE,Pokémon X
EKJJ,ポケットモンスター Ｘ
EKJK,Pokémon X
EKJP,Pokémon X
HARP,AR Games
HMAP,Nintendo Zone Viewer
J2VE,MIGHTY GUNVOLT BURST Update Ver. 1.3.1
J2VP,MIGHTY GUNVOLT BURST: Update
JB7P,Mario and Donkey Kong: Minis on the Move
JH4K,Sudoku by Nikoli
JM9K,Masyu by Nikoli
JN4P,River City: Knights of Justice
JYLJ,マリオvs.ドンキーコング みんなでミニランド
KXNJ,ドラゴンクエストX　オンライン
LBPJ,スクエアピクト Block-a-Pix
UA9J,Tactics Ogre - Let Us Cling Together
UAFJ,F-Zero
UAKJ,Pilotwings
UAQJ,Contra Spirits
UAZJ,Street Fighter II Turbo - Hyper Fighting
V2GV,Mario & Donkey Kong: Minis on the Move + Mario vs. Donkey Kong: Mini's March Again! -Download Codes-
A26E,Silver Falls - Undertakers
A26P,Silver Falls - Undertakers
A2FE,Silver Falls Gaiden DDD
A2GE,Silver Falls - Ghoul Busters
A2KE,Bricks Defender 3
A33E,Otosan: Nintendo 3DS Edition
A3TE,Bricks Pinball 3
A3YE,Maze Breaker VI
A3ZE,Automaton Lung
A41E,Mia's Picnic
A41P,Mia's Picnic
A4ZE,CRYGHT
A54E,Bricks Pinball V
A55E,Pinball Breaker V
A55P,Pinball Breaker V
A57E,Bricks Pinball 2
A57P,Bricks Pinball 2
A5KE,Maze Breaker V
A5TE,Bricks Pinball VI
A66J,戦国無双 Chronicle
A67E,Quarters, Please! Vol. 2
A67P,Quarters, Please! Vol. 2
A7HE,snake3d
A7ZE,Maze Breaker 4
A91E,Bricks Defender  4
A9AJ,メトロイド サムスリターンズ
A9CE,Cube Creator DX
A9CK,Cube Creator DX 업데이트 데이터 ver.1.1.1
A9CP,Cube Creator DX
A9EE,Dillon’s Dead-Heat Breakers
AABJ,テイルズ オブ ジ アビス
AACJ,新 絵心教室
AAGE,Puzzler Brain Games
AAKJ,獣電戦隊キョウリュウジャー ゲームでガブリンチョ!!
AALE,A-Train 3D: City Simulator
AALJ,A列車で行こう3D
AALP,A-Train - 3D City Simulator
AAPE,My Riding Stables 3D - Jumping for the Team
AAQE,Mystery Case Files Ravenhearst
AASE,Hidden Expedition Titanic
AATJ,キラ★メキ おしゃれサロン! ～わたしのしごとは美容師さん～
AAUJ,更新データ Ver. 1.3 SIMPLEシリーズ Vol.1 THE 麻雀
AB7E,Cocoto Alien Brick Breaker
AB7J,小悪魔ココトの宇宙人くずし
ABCJ,超速変形ジャイロゼッター アルバロスの翼
ABEK,뉴 슈퍼 마리오브라더스 2
ABLJ,BLAZBLUE CONTINUUM SHIFT Ⅱ
ABLK,업데이트 데이터 Ver. 1.1 블레이 블루 컨티뉴엄 시프트 2
ABMJ,バイオハザード ザ･マーセナリーズ 3D
ABQJ,牧場物語 はじまりの大地
ABTE,Bit.Trip Saga
ABUE,My Exotic Farm
ABZJ,バルダーダッシュXL 3D
AC2E,Crash City Mayhem
AC2P,Crash City Mayhem
AC7P,Code of Princess
ACBJ,更新データ Ver. 1.1 カルドセプト
ACFJ,Castlevania - Lords of Shadow - 宿命の魔鏡
ACGE,Classic Games Overload: Card & Puzzle Edition
ACJJ,ガールズRPG シンデレライフ
ACLK,Girls Style 패션 리더 선언!
ACMJ,マリオ&ソニック AT ロンドンオリンピック
ACQK,쿠킹마마 마마와 나의 요리 시간 !
ACTJ,かわいい仔犬3D
ACUE,AeternoBlade
ACUJ,タイムアベンジャー
ACUP,AeternoBlade
AD2E,Deer Drive Legends
AD2P,Deer Drive Legends
AD3E,3D Game Collection
AD3J,ゲームざんまい
AD3Z,3D Game Collection
AD6E,Scribblenauts Unmasked: A DC Comics Adventure
AD7J,更新データ Ver. 1.1 DQⅦ エデンの戦士たち
AD9J,ドラえもん のび太のひみつ道具博物館
ADAK,nintendogs + cats 시바 이누 & NEW친구들
ADBK,nintendogs + cats 프렌치 불 & NEW친구들
ADCK,nintendogs + cats 푸들 & NEW친구들
ADDJ,DEAD OR ALIVE Dimensions
ADHE,Mystery Case Files Dire Grove
ADJJ,更新データ Ver. 1.1 デジモンワールド Re:Digitize Decode
ADNJ,更新データ Ver. 1.2 ダンボール戦機 爆ブースト
ADSJ,ちび☆デビ!2 ～魔法のゆめえほん～
ADVJ,デビルサバイバー オーバークロック
ADWJ,ドラかず のび太のすうじ大冒険
ADXE,Shin Megami Tensei: Devil Survivor 2: Record Breaker
ADXJ,デビルサバイバー2 ブレイクレコード
ADXK,업데이트 데이터 Ver. 1.1 데빌 서바이버2 브레이크 레코드
AE4J,イナズマイレブンGO シャイン
AEDJ,イナズマイレブンGO ダーク
AEJJ,パックワールド
AETJ,更新データ Ver. 1.1 イナズマ イレブン1･2･3!! 円堂守伝説
AEUJ,エルミナージュゴシック3D REMIX ～ウルム･ザキールと闇の儀式～
AEYP,My Baby Pet Hotel 3D
AEZJ,ESSEらくらく家計簿
AF6E,50 Classic Games 3D
AF6Y,50 Classic Games 3D
AFAP,Fish On 3D
AFDE,Angler's Club: Ultimate Bass Fishing 3D
AFEJ,ファイアーエムブレム 覚醒
AFFJ,更新データ Ver.1.1 BRAVELY DEFAULT FF
AFJE,The LEGO Movie Videogame
AFLE,Fantasy Life
AFLJ,更新データ Ver. 1.7 ファンタジーライフ
AFNE,Funfair Party Games
AFNZ,Funfair Party Games
AFUJ,更新データ Ver. 1.1 そろばん･あんざん･フラッシュ暗算
AFWE,Sushi Striker: The Way of Sushido
AFWP,Sushi Striker: The Way of Sushido
AFXE,Hollywood Fame: Hidden Object Adventure
AFXP,Hollywood Fame: Hidden Object Adventure
AFZJ,更新データ Ver. 1.1 キッパーの えいご教室 vol.1 キッパー編
AFZP,Phonics Fun with Biff, Chip & Kipper Vol. 1
AG2E,3D MahJongg
AG2J,上海3D
AG2Z,3D MahJongg
AG5J,ペーパーマリオ スーパーシール
AG5K,페이퍼 마리오 스티커 스타
AG8E,Gardenscapes
AG8J,Gardenscapes つくろう！大庭園
AGAJ,マリオテニス オープン
AGGE,Luigi's Mansion: Dark Moon
AGGJ,ルイージマンション2
AGHJ,役満 鳳凰
AGKE,Phoenix Wright - Ace Attorney - Dual Destinies
AGKJ,逆転裁判5
AGKP,Phoenix Wright: Ace Attorney - Dual Destinies
AGPE,Garfield Kart
AGRE,Tom Clancy's Ghost Recon: Shadow Wars
AGWJ,まめゴマ はっぴー!スイーツファーム
AGYJ,ガイストクラッシャー
AH4J,更新データ Ver. 1.1 モンスターハンター4
AH4K,업데이트 데이터 Ver. 1.1 몬스터헌터 4
AH4Z,更新資料 Ver. 1.1  MONSTER HUNTER 4
AH7J,ぼくは航空管制官 エアポート ヒーロー3D 羽田 with JAL
AH9E,Hakuoki: Memories of the Shinsengumi
AHAJ,シャーロック･ホームズ パズルシティ
AHBJ,ポケットサッカーリーグ カルチョビット
AHBP,Nintendo Pocket Football Club
AHKE,Travel Adventures with Hello Kitty
AHKP,Around the World with Hello Kitty & Friends
AHKZ,Around the World with Hello Kitty & Friends
AHME,Brilliant Hamsters!
AHMJ,おしゃれハムスターと暮らそう いっしょにおでかけ
AHMP,Brilliant Hamsters!
AHNJ,更新データ Ver. 1.1 初音ミク Project mirai 2
AHQE,Shin Megami Tensei: Devil Summoner: Soul Hackers
AHQJ,更新データ Ver. 1.1 デビルサマナー ソウルハッカーズ
AHRE,Fossil Fighters: Frontier
AHRJ,カセキホリダー ムゲンギア
AHTJ,更新データ Ver. 1.1 G1グランプリ
AHUE,MY PETS
AHWE,I am an Air Traffic Controller Airport Hero Hawaii Update
AHWJ,ぼくは航空管制官 エアポートヒーロー3D ホノルル
AHWP,I am an air traffic controller  AIRPORT HERO HAWAII
AHXE,Hometown Story
AHXJ,更新データ Ver. 1.2 ホームタウンストーリー
AHYP,Shakedown: Hawaii
AJ1E,Harold's Walk
AJ4E,Jewel Quest IV Heritage
AJ5J,ジュエルマスター
AJ5Z,Jewel Master Atlantis 3D
AJ6E,Jewel Quest 6 - The Sapphire Dragon
AJ8E,Kirby Battle Royale
AJBE,Style Savvy: Styling Star
AJCZ,35 Junior Games
AJGJ,更新データ Ver. 1.1 探偵 神宮寺三郎 復讐の輪舞
AJHK,슈퍼 마리오 메이커 for 닌텐도 3DS 업데이트 데이터 ver.1.05
AJJE,Fire Emblem Echoes: Shadows of Valentia
AJJK,파이어 엠블렘 Echoes 또 하나의 영웅왕
AJJW,FIRE EMBLEM Echoes 更新資料 Ver. 1.1
AJNK,포치와! 요시 울리 월드
AJUE,Jewel Match 3
AJUZ,Jewel Match 3
AK2E,River City: Tokyo Rumble
AK2J,更新データ Ver. 1.1 熱血硬派くにおくんSP 乱闘協奏曲
AK2K,업데이트 데이터 Ver. 1.2 열혈경파 쿠니오군SP 난투협주곡
AK2P,River City: Tokyo Rumble
AK3E,Sega 3D Classics Collection
AK8E,Kokuga
AK9J,熱血硬派くにおくん すぺしゃる
AKCJ,かわいい子猫3D
AKDE,Kid Icarus: Uprising
AKDJ,新･光神話 パルテナの鏡
AKGE,Zero Escape: Virtue's Last Reward
AKGP,Zero Escape: Virtue's Last Reward
AKHJ,更新データ Ver. 1.1 KINGDOM HEARTS 3D
AKKE,Professor Layton and the Miracle Mask
AKSE,Shovel Knight
AKTJ,空間さがしもの系脳力開発 3D脳トレーニング
AKXE,I am an air traffic controller AIRPORT HERO OSAKA-KIX
AKXP,I am an air traffic controller  AIRPORT HERO OSAKA-KIX
AL3J,Farming Simulator 3D ポケット農園
AL5E,LEGO Marvel Super Heroes: Universe in Peril
AL5Y,LEGO Marvel Super Heroes: Universe in Peril
AL6E,Professor Layton and the Azran Legacy
AL6J,レイトン教授と超文明Aの遺産
AL8J,ニンテンドー3DSガイド ルーヴル美術館
AL8K,닌텐도 3DS 가이드 루브르 박물관
ALEE,LEGO Marvel Avengers
ALHJ,ロストヒーローズ
ALKE,I Love My Cats
ALMJ,更新データ Ver. 2.0 マギ はじまりの迷宮
ALNE,I Love My Pony
ALPJ,更新データ Ver. 1.2 NEWラブプラス
ALTJ,エクストルーパーズ
ALWE,I Love My Dogs
ALXE,Luxor
ALXP,Luxor
AM3Z,My Foal 3D
AM5E,Mahjong Mysteries - Ancient Athena
AM5Y,Mahjong Mysteries - Ancient Athena
AM6J,まめゴマ よいこ まるいこ げんきなこ!
AM8E,Murder on the Titanic
AM8J,タイタニック殺人事件
AM8Z,Murder on the Titanic
AMAJ,萌え萌え大戦争☆げんだいばーん 3D
AMGJ,更新データ Ver. 1.1 METAL GEAR SOLID SNAKE EATER 3D
AMHJ,モンスターハンター3(トライ)G
AMKK,마리오 카트 7 업데이트 데이터 Ver. 1.2
AMKW,更新資料 Ver. 1.2 瑪利歐賽車7
AMQE,Disney Magical World
AMTE,Shin Megami Tensei: Devil Survivor Overclocked
AMTP,Shin Megami Tensei: Devil Survivor Overclocked
AMUE,Riding Stables 3D
AMXE,Shin Megami Tensei IV
AMXK,진 여신전생Ⅳ
AMXP,Shin Megami Tensei IV
AMZP,Mahjong 3D: Warriors of the Emperor
AMZY,Mahjong 3D -  Warriors of the Emperor
AN6E,I am an Air Traffic Controller - AIRPORT HERO NARITA
AN6J,ぼくは航空管制官 エアポート ヒーロー3D 成田 with ANA
AN6P,I am an Air Traffic Controller - AIRPORT HERO NARITA
AN9J,更新データ Ver. 1.1 モデル☆ おしゃれオーディション プラチナ
ANAJ,更新データ Ver. 1.1 ピカピカナース物語2
ANEJ,更新データ Ver. 2.1 大合奏!バンドブラザーズP
ANMJ,アニマルリゾート 動物園をつくろう!!
ANNJ,忍者じゃじゃ丸くん さくら姫と火竜のひみつ
ANPJ,更新データ Ver. 1.3 イナズマイレブンGO2 ネップウ
ANQJ,ニコリの数独3D ～8つのパズルで1000問～
ANRJ,スターフォックス64 3D
ANUE,Miitopia - Casting Call
ANUP,Miitopia: Casting Call
ANWJ,謎惑館 音の間に間に
AP3P,Pets Paradise Resort 3D
AP4J,ポヨポヨ観察日記
AP5J,更新データ Ver. 1.1 ペンギンの問題 ザ･ウォ―ズ
APDJ,ポケモン不思議のダンジョン ～マグナゲートと∞迷宮～
APFE,Petz Fantasy 3D
APFP,Petz Fantasy 3D
APIE,Petz Beach
APIJ,更新データ Ver. 1.1 オシャレで かわいい 子犬と遊ぼ!-海編-
APIP,Petz Beach
APMJ,おさわり探偵 なめこ大繁殖
APOE,Petz Countryside
APOJ,オシャレでかわいい 子犬と遊ぼ!-街編-
APOP,Petz Countryside
APRE,LEGO Legends of Chima: Laval's Journey
AQ3E,Bricks Pinball 4
AQ7E,HarmoKnight
AQ7J,リズムハンター ハーモナイト
AQ7P,HarmoKnight
AQ8E,Crosswords Plus
AQ9A,Pokedex 3D Pro
AQAJ,更新データ Ver. 1.1 メダロットDUAL クワガタVer.
AQBJ,更新データ Ver. 1.1 メダロット７ カブトVer.
AQEE,The Legend of Zelda: Ocarina of Time 3D
AQEJ,ゼルダの伝説 時のオカリナ 3D
AQEK,젤다의 전설 시간의 오카리나 3D
AQMP,Gummy Bears Mini Golf
AQQK,페르소나 Q 섀도우 오브 더 래버린스
AQVJ,更新データ Ver. 1.1 メダロットDUAL カブトVer.
AQWJ,更新データ Ver. 1.1 メダロット７ クワガタVer.
AR2E,Mystery Case Files Return to Ravenhearst
AR2P,Mystery Case Files: Return to Ravenhearst
AR4E,Rune Factory 4
AR4J,ルーンファクトリー4
AR4Z,Rune Factory 4
AR6K,업데이트 데이터 Ver. 1.1 로데아 더 스카이 솔져
AR6P,Rodea the Sky Soldier
ARAJ,更新データ Ver. 1.3 イナズマイレブンGO2 ライメイ
ARBE,Rabbids: Travel in Time 3D
AREJ,スーパーマリオ 3Dランド
AREK,슈퍼 마리오 3D랜드
ARFE,Reel Fishing Paradise 3D
ARFJ,Fish Eyes 3D
ARHD,Real Heroes: Firefighter 3D
ARHP,Real Heroes: Firefighter 3D
ARHY,Real Heroes: Firefighter 3D
ARHZ,Real Heroes: Firefighter 3D
ARJE,Japanese Rail Sim 3D - Journey in Suburbs #1
ARJJ,鉄道にっぽん!路線たび 長良川鉄道編
ARJW,鐵道日本！長良川鐵道 出發篇 (繁體中文版)
ARKE,Japanese Rail Sim 3D Journey in suburbs #2
ARLJ,ねらって!とばして!リラックマ ぐらぐらスイーツタワー
ARME,Rayman Origins
ARNJ,ランナバウト3D ドライブ:インポッシブル
ARRJ,リッジレーサー3D
ARSE,Riding Star 3D
ARTE,Rhythm Thief & the Emperor's Treasure
ARTJ,リズム怪盗R 皇帝ナポレオンの遺産
ARVJ,ソニック ロストワールド
ARXE,Beyblade Evolution
AS5J,更新データ Ver. 1.1 真･三國無双 VS
AS6J,スーパーロボット大戦UX
ASAE,Secret Agent Files: Miami
ASAZ,Secret Agent Files: Miami
ASCZ,Tom Clancy's Splinter Cell 3D
ASJE,Etrian Odyssey IV: Legends of the Titan
ASJJ,世界樹の迷宮Ⅳ 伝承の巨神
ASJP,Etrian Odyssey IV: Legends of the Titan
ASLE,Scribblenauts Unlimited
ASME,Super Monkey Ball 3D
ASNE,Sonic Generations
ASNJ,ソニックジェネレーションズ 青の冒険
ASRJ,更新データ Ver. 1.1 ものすごく脳を鍛える5分間の鬼トレーニング
ASRK,카와시마 류타 박사 감수 초강력! 5분간의 집중력 트레이닝
ASSE,Super Street Fighter IV: 3D Edition
ASSJ,スーパーストリートファイターIV 3D EDITION
ASUJ,更新データ Ver. 1.1 花といきもの立体図鑑
ASXE,Secret Mysteries in New York
ASZE,Shifting World
ASZJ,SHIFTING WORLD 白と黒の迷宮
ASZP,Shifting World
AT2E,Harvest Moon 3D: The Tale of Two Towns
AT3A,Hoshi no Kirby: Robobo Planet
AT3K,별의 커비 로보보 플래닛
AT8E,URBAN TRIAL FREESTYLE
AT8J,たまごっちの ドキドキ☆ドリームおみせっち
AT8P,Urban Trial Freestyle
ATAE,Yoshi's New Island
ATAJ,ヨッシー New アイランド
ATAK,요시 New 아일랜드
ATAP,Yoshi's New Island
ATCJ,逃走中 史上最強の ハンターたちからにげきれ!
ATDJ,太鼓の達人 ちびドラゴンと不思議なオーブ
ATEJ,TOEICテスト超速トレーニング
ATJE,Japanese Rail Sim 3D  5 types of trains
ATJP,Japanese Rail Sim 3D  5 types of trains
ATLJ,テトリス
ATQE,Freakyforms Deluxe: Your Creations, Alive!
ATQJ,大盛り! いきものづくり クリエイトーイ
ATRJ,TIME TRAVELERS
ATSJ,マリオパーティ アイランドツアー
ATSK,마리오 파티 아일랜드 투어
ATWJ,更新データ Ver. 1.1 DQM テリーのワンダーランド3D
AU1P,Cazzarion Adventureland
AUFE,Yumi's Odd Odyssey
AUFJ,さよなら 海腹川背
AUFP,Sayonara Umihara Kawase
AUGJ,おしゃべりうさぎ おしゃれコレクション
AUHE,Bricks Defender V
AULE,Doll Fashion Atelier
AULK,내맘대로 프린세스 컬렉션
AULP,Doll Fashion Atelier
AUNE,Mario Sports Superstars
AUXJ,アンチェインブレイズ エクシヴ
AVAE,Harvest Moon: Skytree Village
AVGJ,更新データ Ver. 1.2 カードファイト!! ヴァンガード
AVHE,Senran Kagura Burst
AVHJ,閃乱カグラ Burst -紅蓮の少女達-
AVHP,Senran Kagura Burst
AVME,Harvest Moon 3D: The Lost Valley
AVMP,Harvest Moon: The Lost Valley
AVSJ,更新データ Ver. 1.1 レイトン教授VS逆転裁判
AWAJ,パイロットウイングス リゾート
AWNJ,わんニャンどうぶつ病院2
AWSE,Winter Sports - Feel the Spirit
AWSZ,Winter Sports 2012 - Feel the Spirit
AWTJ,ワールドサッカー ウイニングイレブン 2013
AWUE,Atlantis-6
AWUP,Atlantis-6
AWWP,Word Wizard 3D
AWWZ,Word Wizard 3D
AWXA,WarioWare Gold
AX2J,更新データ Ver. 1.1 キッパーの えいご教室 vol.2 ビフ編
AX2P,Phonics Fun with Biff, Chip & Kipper Vol. 2
AX3J,更新データ Ver. 1.1 キッパーの えいご教室 vol.3 チップ編
AX3P,Phonics Fun with Biff, Chip & Kipper Vol. 3
AX4J,更新データ Ver. 1.1 メタルマックス4 月光のディーヴァ
AX8A,Dr. Mario: Miracle Cure
AX9E,Style Savvy: Trendsetters - Fashion Contest Demo
AX9P,Nintendo presents: New Style Boutique - Fashion Contest Demo
AXAJ,仮面ライダー トラベラーズ戦記
AXCK,업데이트 데이터 Ver.1.1.7 슈퍼 스매시브라더스 for 닌텐도 3DS
AXCZ,大亂鬥スマッシュブラザーズ for  Nintendo 3DS 更新資料 Ver. 1.1.7
AXPE,PixelMaker Studio
AXPP,PixelMaker Studio
AXRE,Apollo Justice: Ace Attorney
AXRP,Apollo Justice: Ace Attorney
AXSZ,Inazuma Eleven 3: Lightning Bolt
AY3E,Culdcept Revolt
AY4J,世界名作童話 親子で読める ゲーム絵本 プリンセス編
AY5J,世界名作童話 親子で読める ゲーム絵本 冒険編
AY6A,Code Name: S.T.E.A.M.
AY7P,Bella Sara 2
AY9E,Adventure Time: Explore the Dungeon Because I Don't Know!
AYAZ,My Baby Pet Hotel 3D
AYBZ,My Vet Practice 3D - In the Country
AYCJ,更新データ Ver. 1.1 モデション ドリームガール
AYFP,Best of Board Games
AYHP,Best of Arcade Games
AYMK,마리오&루이지 RPG 4 드림 어드벤처
AYNK,마리오&루이지 RPG  페이퍼 마리오 MIX
AYRP,Yakari: The Mystery of Four Seasons
AYTE,Donkey Kong Country Returns 3D
AYTJ,ドンキーコング リターンズ 3D
AYTK,동키콩 리턴즈 3D
AYUJ,おしゃれな仔犬3D
AYVJ,ナナミと一緒に学ぼ! English上達のコツ
AYWE,Yo-Kai Watch
AYWJ,更新データ Ver. 1.2 妖怪ウォッチ
AYWK,요괴워치
AYXE,Yu-Gi-Oh! ZEXAL World Duel Carnival
AYXJ,遊戯王ZEXAL 激突!デュエルカーニバル!
AYXP,Yu-Gi-Oh! Zexal: World Duel Carnival
AYYE,My Little Baby 3D
AYYP,My Little Baby 3D
AZCJ,更新データ Ver. 1.1 戦国無双 Chronicle 2nd
AZDE,Azada
AZEE,Batman: Arkham Origins Blackgate
AZEP,Batman: Arkham Origins Blackgate
AZFE,PET HOSPITAL
AZFP,Animal Hospital
AZGE,Puzzle & Dragons Z + Puzzle & Dragons Super Mario Bros. Edition
AZGJ,パズドラＺ
AZGK,업데이트 데이터 Ver.2.0  퍼즐앤드래곤 Z + 퍼즐앤드래곤  슈퍼 마리오브라더스 에디션
AZGP,Puzzle & Dragons Z + Puzzle & Dragons Super Mario Bros. Edition
AZHE,My Western Horse 3D
AZHP,My Western Horse 3D
AZNJ,ニコリの数独3D 第二集 ～8つのパズルで1000問～
AZSJ,星霜のアマゾネス
B7ME,Mountain Peak Battle Mess
B7MP,Mountain Peak Battle Mess
B95E,Flying Axe
B95P,Flying Axe
BAAK,업데이트 데이터 Ver. 1.1 마리오 파티 스타 러시
BABE,Mario Party Star Rush Party Guest Edition
BABK,마리오 파티 스타 러시 파티 게스트
BABP,Mario Party: Star Rush: Party Guest
BACA,Pokémon Sun and Pokémon Moon Special Demo
BAGE,Ever Oasis
BAGJ,Ever Oasis 精霊とタネビトの蜃気楼
BAGP,Ever Oasis
BAKJ,更新データ Ver. 1.2 アイカツ! 2人のmy princess
BALJ,星のカービィ トリプルデラックス
BALK,별의 커비 트리플 디럭스
BAMK,에르미나쥬 이문록 환세요마전 아메노미하시라
BAQE,Atlantic Quest
BAQJ,アトランティック クエスト
BAQZ,Atlantic Quest
BASJ,黒子のバスケ 勝利へのキセキ
BATJ,ハマトラ Look at Smoking World
BB3E,Story of Seasons: Trio of Towns
BB3P,Story of Seasons: Trio of Towns
BB4E,Kirby Battle Royale Demo
BB4K,커비 배틀 디럭스! 체험판
BB4P,Kirby Battle Royale Demo
BBBJ,更新データ Ver. 1.1 メタルファイト ベイブレード
BBEE,Pinball Breaker 2
BBEP,Pinball Breaker 2
BBFE,Pinball Breaker 3
BBFP,Pinball Breaker 3
BBKJ,ぼくは航空管制官 エアポート ヒーロー3D 新千歳 with JAL
BBME,Goosebumps: The Game
BBPE,Picross 3D Round 2
BC4E,SAMURAI WARRIORS: Chronicles 3 Update Ver. 1.0.2
BC4P,SAMURAI WARRIORS: Chronicles 3: Update
BC5E,Cooking Mama 5: Bon Appetit!
BC5J,クッキングママ5
BC5K,쿠킹마마 마마를 도와줄래?
BCAE,Metroid Prime: Federation Force
BCAP,Metroid Prime: Federation Force
BCBJ,戦闘中 伝説の忍とサバイバルバトル!
BCCJ,更新データ Ver. 1.1 CONCEPTIONⅡ
BCEE,Final Fantasy Explorers
BCEP,Final Fantasy Explorers
BCME,Candy Match 3
BCPE,Corpse Party
BCPK,콥스파티  Blood Covered: ...Repeated fear.
BCPP,Corpse Party
BCRE,Ace Combat: Assault Horizon Legacy+
BCSE,Best of Casual Games
BCSP,Best of Casual Games
BCUE,Scooby-Doo & Looney Tunes Cartoon Universe: Adventure
BCXJ,ゲームセンターCX3丁目の有野
BD6J,たまごっち! せーしゅんのドリームスクール
BDCJ,ドラちえ ミニドラ音楽隊と7つの知恵
BDDJ,ハイスクールD×D
BDFE,Spot The Differences!
BDFP,Spot the Differences
BDJE,River City: Rival Showdown
BDJP,River City: Rival Showdown
BDLE,Dragon Ball Fusions
BDLP,Dragon Ball Fusions
BDMJ,ドラゴンクエストモンスターズ2 イルとルカの不思議なふしぎな鍵
BDNJ,更新データ Ver. 1.2 ダンボール戦機ウォーズ
BDPJ,魔界王子 devils and realist 代理王の秘宝
BDVE,Dragon Ball Z: Extreme Butoden
BDVK,업데이트 데이터 Ver. 1.1  드래곤볼 Z 초궁극무투전
BDVP,Dragon Ball Z: Extreme Butoden
BDWJ,更新データ Ver. 1.1 ダンボール戦機W 超カスタム
BE4K,털실 커비 이야기 플러스
BE4P,Kirby's Extra Epic Yarn
BE8E,PICROSS e8
BE8J,PICROSS e8
BE8P,PICROSS e8
BEAJ,ビーストサーガ 最強激突コロシアム!
